company name,website,city,segment,what they make,revenue band,decision maker,DM title,E1 producer,E1 evidence,E2 accessible,E2 evvidence,C3 score,C3 evidence,C4 score,C4 evidence,C5 score,C5 evidence,C6 score,C6 evidence,C7 score,C7 evidence,C8 score,C8 evidence,Federer score,band,verdict,verdict reasoning,personalization hook,sources
C Tech Engineers pvt ltd,https://www.ctechengineers.com/,pune,Precision auto components and engineering,"precision machined components,industrial spare parts and heavy duty attachment systems",25-50 cr,Satishchandra Dagaduram Mutha,managing director,Pass,"Own manufacturing plants,50+ CNC machines,Manufacture precision machined components",Pass,"Manufacturing facility at Narhe Industrial Area, Pune, Maharashtra. C-Tech Engineers Pvt. Ltd.",moderate,"Strong precision manufacturing capability, BUT no patents, proprietary IP, or evidence of pioneering innovation.",moderate,"leadership has manufacturing expertise, BUT no public evidence of IIT/PhD credentials, scientist background, ERP implementation, or structured operational systems led by the decision maker",strong,"Precision engineering benefits from Make in India, infrastructure growth, manufacturing exports and China+1 supply-chain diversification.",moderate,"Active website and ongoing export business, BUT no publicly verified evidence of recent plant expansion, 5+ hiring roles, major new certifications or significant revenue growth meeting 2+ growth signals.",moderate,"ISO-certified manufacturing and advanced quality processes, BUT no public confirmation of ERP/SAP, MIS dashboards, or structured costing systems.",moderate,"Gen-2 (Chirag Mutha) is formally appointed to the board, BUT public evidence of day-to-day operational leadership and a broader professional management team is limited.",60,probable federer,pass,"Strong manufacturer with export capability and technical expertise, but limited public evidence of proprietary innovation and advanced operational systems.",Advanced CNC machining and in-house heat treatment supporting precision engineering for global OEMs.,ctechengineers.com; MCA filings; EEPC export award archives; Tofler financial data.
Tamboli engineers pvt ltd,https://www.tamboliengg.com/,pune,Precision auto components and engineering,"Precision CNC machined components, heavy castings, shafts, jigs & fixtures, sub-assemblies, aerospace & marine components.",10-25 cr,Nazir Bashir Tamboli,managing director,Pass,"They are a textbook manufacturer. They operate a large, physical 40,000+ sq. ft. factory in Pune",Pass,"Their entire operational infrastructure and head office are completely based out of Nanded Phata, Dhayari in Pune, Maharashtra.",Strong,"AS9100D & ISO 9001:2015 certified, advanced CNC machining, aerospace components, prototype production, heavy precision machining and specialized tooling.",moderate,"Experienced founder with strong manufacturing background, BUT no public evidence of IIT/PhD/scientist credentials or ERP/SAP-led operational transformation.",strong,"Precision engineering benefits from Make in India, aerospace, defence, exports and China+1 manufacturing trends.",moderate,"AS9100D certification achieved, BUT limited evidence of multiple recent expansion, hiring, or facility growth signals.",moderate,"Strong quality control and inspection systems, BUT no public evidence of SAP/ERP, MIS dashboards, or enterprise-wide digital systems.",moderate,"Executive Director Wasim Tamboli is part of the leadership team, BUT there is no publicly available evidence confirming a formal Gen-2 succession or multiple independent senior executives.",70,probable federer,pass,"Strong precision engineering manufacturer with aerospace certifications and active Gen-2 leadership, but limited public evidence of enterprise-wide ERP systems and multiple recent growth signals.",AS9100D-certified precision machining capabilities for aerospace components,tamboliengg.com; Ministry of Corporate Affairs (MCA) filings; Tracxn corporate database; current Pune manufacturing job postings.
Craft and Technik Industries,https://craftandtechnik.com/,pune,Precision auto components and engineering,Precision CNC machined components for automotive and indsutrial applications,5-25 cr,Prashant Umbrani,founder,Pass,"Own manufacturing facility with CNC/VMC machining, inspection and assembly. Manufactures precision components in-house.",Pass,"Headquarters and manufacturing facility located in Pune,India",moderate,"This is a very strict quality certificate that allows them to export parts directly to the UK, USA, and China. However, making engine pulleys and standard metal turning is a busy market with plenty of local competitors in Pune.",moderate,"Experienced manufacturing founder, BUT no public evidence of IIT/PhD/scientist background or enterprise-wide systems leadership.",strong,"Precision engineering benefits from Make in India, automotive exports and China+1 manufacturing opportunities.",moderate,"Active website and quality certifications, BUT limited public evidence of recent plant expansion or multiple hiring signals.",moderate,"They drop to moderate only because they don't use massive, automated software like SAP across the whole company.",moderate,"It gets a moderate score because it is still heavily dependent on the main founder, rather than a broad team of outside professional directors.",50,borderline,research further,"Solid manufacturing business with moderate technical capabilities, but lacks enough evidence of growth, systems maturity, and leadership strength to qualify as a strong Federer company. Requires further validation before inclusion.",They are an IATF 16949-certified exporter that successfully ships precision-machined Pune components to demanding global markets like the UK and USA from their automated shop floor.,craftandtechnik.com live infrastructure tour; IATF global supplier registration archives; Pune corporate records.
Armetia Foods pvt ltd,https://www.armetia.com/,pune,Specialty food processing,"Marinades, seasonings, curry and rice blends,spices",10-50 cr,Alisagar Shabbir Master,Director/Co-founder,Pass,"Own manufacturing facility in Pune ,hold active FSSAI manufacturing licenses ",Pass,"located in Pune ,Maharashtra",Strong,"Armetia focuses heavily on high-margin value-add formulations.Custom recipe development, reverse engineering, private-label manufacturing and preservative-free specialty blends.",moderate,"The co-founders are highly specialized in operational execution, traditional flavor curation, and local trade ecosystems.BUT no public evidence of IIT/PhD/scientist background or ERP-led operational systems.",strong,Institutional demand from restaurant chains looking to standardize kitchen outputs through readymade curry bases and marinades provides a powerful secular tailwind.,moderate,"Maintain active online business catalog footprints and focused Middle East/Asian export channels. However, public records confirm a very lean organizational structure (1–50 employees), without definitive proof of major recent capital expenditure (CapEx) expansions, multi-location facility rollouts, or scaled hiring cycles.",moderate,"FSSAI, APEDA and Spices Board registrations, BUT no public confirmation of SAP/ERP or enterprise MIS systems",weak,No publicly verified evidence of Gen-2 leadership or clear institutional succession path independent of the founding promoters.,65,probable federer,pass,"Specialty food manufacturer with strong product differentiation and export capability, but limited public evidence of advanced systems, leadership succession and multiple growth signals.",Custom preservative-free seasoning and marinade development with private-label manufacturing for food brands.,"https://www.armetia.com/,zauba corp,MCA records,Linkedin"
Proton Metalcrafts pvt ltd,https://www.protonmetalcrafts.com/,pune,"Precision machining,Aerospace and defence Manufacturing","Precision machined components, assemblies, machined castings and forgings for Defence, Aerospace, Automotive, Oil & Gas and Engineering industries.",10-50 cr,Gajanan Lupane,"CEO,Founder,Managing Director",Pass,They own and operate an industrial engineering plant producing precision machined components and assemblies with CNC/VMC machining and inspection facilities,Pass,"Fully active, transparent operational plant in a core, highly accessible industrial zone of Pune, Maharashtra.",Strong,"AS9100 Rev D & ISO 9001:2015 certified, specializes in critical aerospace and defence precision machining with advanced 5-axis machining and CMM inspection",moderate,"Mr. Gajanan Lupane is a qualified Mechanical Engineer with deep techno-commercial domain knowledge gained from senior management roles prior to founding Proton. While highly technically competent, it lands at a moderate score because there is no deep abstract scientific or institutional research pedigree (such as an IIT/IISc or international PhD) leading the design board.",strong,"Defense manufacturing localization (""Make in India""), aerospace component sourcing shifts, and high-end automotive tier-1 engineering are all experiencing massive macroeconomic tailwinds and aggressive capital inflows.",strong,"They exhibit incredibly high financial velocity. Their top-line revenue scaled cleanly to ₹11.5 Crores for FY25, backed by a massive single-year CAGR of 66%. This explosive performance demonstrates an active, rapid acquisition of high-value industrial accounts.",strong,"AS9100 quality system, documented manufacturing processes, advanced inspection systems, CMM, NDT and process-driven manufacturing.",moderate,"Director Vivek G. Lupane is part of the leadership team, BUT no clear public evidence confirming a formal Gen-2 operational transition.",80,Strong federer,strong pass,"Strong manufacturing capability, aerospace certifications, and founder-led engineering business with good systems. Missing public evidence of large-scale ERP implementation and very strong growth signals,",AS9100 Rev D-certified Pune manufacturer supplying precision machined components for Defence & Aerospace using advanced 5-axis machining and Zeiss inspection systems.,protonmetalcrafts.com active infrastructure/leadership portal; Ministry of Corporate Affairs (MCA) financial registries for FY25; global AS9100 defense aerospace vendor registration lists
Konzert Toolings Limited,https://www.konzertgroup.com/about-us,pune,"Industrial Heavy Engineering, Tool & Die Manufacturing","Press tools, panel dies, transfer dies, progressive dies, precision tooling, sheet metal stamping, automation solutions.",50-100 cr,K.C. Sucheendran,"founder,Managing director",Pass,"They are an asset-heavy, heavy engineering manufacturer operating out of a massive 36,000 sq. ft. central facility at Plot No. EL-21/1/3, MIDC Bhosari, Pune.",Pass,"Manufacturing facilities located in MIDC Bhosari, Pune.",Strong,Konzert operates at the absolute apex of localized technical complexity.Their capacity to execute high-tonnage metal stamping (up to 1000 Tons) gives them a massive infrastructure barrier to entry that standard job-shops can't match.,moderate,"Experienced engineering founder, but no public evidence of IIT/PhD or enterprise-wide systems leadership.",strong,"Heavy tooling automation, localization of defense/automotive component manufacturing, and the rapid design scaling of domestic Electric Vehicles (EVs) require entirely new sheet metal tool-and-die infrastructure. This provides a multi-decade macroeconomic tailwind for tier-1 players.",strong,"The company displays constant, aggressive structural expansion. More importantly, they consistently deploy capital for major physical infrastructure upgrades",strong,"Because they function under strict automotive OEM criteria, their production shop floor runs on rigorous quality assurance protocols. They use elite manufacturing software, precise design modeling flows, and trace material specifications across highly complex bills of materials (BOM).",moderate,"Multiple directors and leadership team, but no clear evidence of an active Gen-2 transition.",90,Strong federer,strong pass,"Strong precision tooling manufacturer with advanced manufacturing systems, automotive OEM experience, and modern engineering infrastructure. Leadership succession is less evident publicly, preventing a perfect score.","Built from a tool room in 2007 into a precision tooling company serving OEMs like Ashok Leyland, Daimler India and Mahindra with advanced ERP-enabled manufacturing.","Konzertgroup.com (About Us & Facilities), Konzerttoolings.com, LinkedIn, CredHive (Directors), The Company Check"
Deccan Mechanical & Chemical Industries pvt ltd,https://www.demechindia.com/,pune,Bulk Material Handling Systems & Wear-Resistant Engineering,Bulk Material Handling Systems & Wear-Resistant Engineering,100-200 cr,Jyoti Digambar Bhide,managing director,Pass,"They are a pure-play, asset-heavy mechanical and material-science engineering manufacturer operating their central plant out of 78, Bhosari Industrial Area, MIDC, Pune.",Pass,"Deeply rooted inside the legacy industrial core of Bhosari MIDC in Pune, with clear contact networks, active web catalogs, and visible corporate registry filings.",Strong,Manufactures specialized wear-resistant products with German technical collaboration and ISO-certified facilities.,moderate,"They excel at executing complex, capital-intensive engineering contracts. However, they function primarily as corporate promoters and heavy industrial managers rather than holding cutting-edge academic engineering research credentials or university-backed material-science design patents.",moderate,"While material handling and wear-resistant coatings are consistently essential for core heavy infrastructure, their primary target industries—such as thermal coal power plants (for bottom-ash systems) and traditional cement/steel mills—face strong global regulatory pressures and a long-term transition toward green energy alternates.",moderate,"Active website and ongoing operations, but limited public evidence of major expansion or multiple growth signals.",strong,ISO 9001:2015 certified manufacturing with dedicated engineering divisions and structured industrial processes.,moderate,"Family-founded company with multiple directors, but no clear public evidence of an active Gen-2 transition.",75,probable federer,pass,"Strong industrial manufacturer with specialized products, structured manufacturing systems, and a long operating history. Public evidence of leadership succession and recent expansion is limited, keeping it just below the A band.","More than 50 years of engineering expertise, manufacturing wear-resistant systems and bulk material handling equipment for India's power, mining and cement industries.","Demech India website, LinkedIn, The Company Check, Tofler."
Raj Process Equipments & Systems Pvt. Ltd.,https://www.rajprocess.com/,pune,Process Equipment Manufacturing / Industrial Engineering (Fits Precision Engineering & Industrial Equipment under Basket C),"Evaporators, dryers, boilers, reactors, Zero Liquid Discharge (ZLD) plants, CBG plants, ethanol plants, turnkey process systems.",100=300 cr,Anilraj Vasant Pise,Founder and managing Director,Pass,"Owns five manufacturing facilities and designs, fabricates, and installs industrial process equipment in-house.",Pass,"Headquarters and multiple manufacturing plants in Pune, Maharashtra.",Strong,"Raj Process holds multiple proprietary design patents directly tied to thermal dynamics, including their Non-Clog Extra Long Tube Falling Film Evaporation System and their Spent Wash Dryer technology.",strong,Mechanical engineer founder leading engineering-led manufacturing business.,strong,"They hit the sweet spot of massive green energy and environmental policy compliance. The Indian market's aggressive mandates for 20% ethanol fuel blending, setting up urban Compressed Biogas (CBG) installations, and strict pollution control rules requiring mandatory zero-discharge water recycling systems give this company tremendous commercial tailwinds.",strong,"New corporate office, international expansion, active events/news in 2025, R&D expansion. (2+ growth signals met.)",strong,"ISO-certified operations, PLC/SCADA-enabled pilot plants, digital process infrastructure, multiple manufacturing units.",moderate,"Multiple directors and leadership team exist, but no clear public evidence of an active Gen-2 operational transition",90,Strong federer,strong pass,"Strong engineering manufacturer with patented technologies, multiple manufacturing plants, active expansion, and excellent systems. Only minor gap is limited public evidence of Gen-2 succession.",Patented Zero Liquid Discharge and bioenergy technologies backed by an in-house R&D centre and five manufacturing facilities.,rajprocess.com; Company Profile; Infrastructure; LinkedIn; TheCompanyCheck
Technosys Equipments pvt ltd,https://technosysequipment.com/,pune,Industrial Material Handling Equipment (MHE) & Warehouse Logistics,"Hand pallet trucks, electric stackers, AGVs, forklifts, scissor lifts, dock levelers, customized material handling equipment.",25-100 cr,Arun Soudagar Jadhav,Director/Promoter,Pass,"Own manufacturing facility in Bhosari, Pune producing material handling equipment.",Pass,"Manufacturing plant and headquarters in Pune, India.",moderate,"Manufactures customized material handling equipment and AGVs, but no clear patents or DSIR/USFDA-type differentiation.",moderate,"Founder-led manufacturing company, but no public evidence of IIT/PhD/scientist background",strong,The growth of the Indian material handling and warehouse machinery market is accelerating rapidly.,strong,"Revenue growth, active website, regular LinkedIn updates, expanding customized product range. (2+ signals met.",moderate,"Dedicated manufacturing infrastructure and quality processes, but no clear public evidence of SAP/ERP implementation.",moderate,No public evidence of Gen-2 leadership or formal succession planning.,55,borderline,research further,"Good manufacturer with customized products and positive growth signals, but limited evidence of technical leadership, advanced systems, and leadership succession keeps it below the top tier.",Customized AGVs and material handling solutions designed for Indian manufacturing and warehousing industries.,technosysequipment.com; technosysequipment.in; Tofler; TheCompanyCheck; LinkedIn.
Accurate Gauging and Instruments pvt ltd,https://accurategauging.com/,pune,"Precision Metrology, Dimensional Inspection Systems & Smart Quality 4.0 Hardware","3D Coordinate Measuring Machines (CMM), air gauges, auto gauging systems, calibration masters, measuring fixtures, and metrology equipment.",100-200 cr,Vikram vilas Salunkhe,managing director,Pass,Manufactures precision measuring instruments and CMMs at its Pune facility.,Pass,Manufacturing unit and headquarters in Pune. Accurate Gauging & Instruments Pvt. Ltd.,Strong,"Pioneer in Indian metrology, manufactures CMMs, DSIR-registered R&D, customized metrology solutions.",moderate,"Engineering-led company, but no clear public evidence of a founder with IIT/PhD/scientist credentials.",strong,"Serves aerospace, defence, automotive and Make-in-India manufacturing sectors.",moderate,"Active website and DSIR recognition, but limited recent evidence of major expansion or hiring",strong,"ISO-certified quality systems, advanced metrology infrastructure, customized automation and quality management processes.",weak,No clear public evidence of Gen-2 leadership or formal succession planning.,70,probable federer,pass,"Strong metrology manufacturer with a clear technical niche and mature manufacturing systems. Public evidence of leadership succession and recent growth is limited, preventing a higher score.","One of India's pioneers in precision metrology, manufacturing indigenous CMMs and customized gauging solutions for aerospace and automotive industries.",accurategauging.com; DSIR Registration; TheCompanyCheck; LinkedIn
